time,phi,theta,phi_dot,theta_dot,ua,ref,ts
8.886,0.340871064299116,0.0013652135750812644,4.049400302735571,1.07508768276825,0.9999999999999999,0.42,0.0
8.895,0.3735839857490637,-0.0015267270404684466,4.01894385034893,0.9520757769044956,0.4,-0.13,0.0
8.905,0.42503520164832953,-0.13977296793000174,4.4470304018323725,0.6779640540931483,1.04,0.35,0.0
8.915,0.4706966360456236,-0.08545822529398814,5.027146967775428,0.033654614600717,0.9700000000000001,0.46,0.0
8.925,0.5353928726701177,-0.09914494594087558,5.92051727642037,-0.209508436850694,0.23,-1.28,0.0
8.935,0.5886553164788243,-0.2011475540130583,4.621352008502003,-0.5090580917421528,-0.33,-0.57,0.0
8.945,0.6128707371829455,-0.21302003185596846,2.234089064032639,-0.35462320708402195,0.38,0.62,0.0
8.955,0.6309587730543695,0.0023169138011240875,1.4977343218724912,0.5575397200769618,0.62,0.66,0.0
8.965,0.6422723228420982,0.11323114081262353,1.5314827980112666,1.7035955087855237,0.64,0.2,0.0
8.975,0.6450827596045317,0.1285583364800144,0.6930349442319679,1.9671924708094637,-0.030000000000000027,-0.27,0.0
8.985,0.6425141434353969,0.024010409915996067,0.06472685378400818,2.023311612030842,0.62,0.34,0.0
8.995,0.6424611513805321,0.10376565952777633,0.4867030798220382,1.7133046285237874,1.04,0.77,0.0
9.005,0.6442921449703973,0.20331786929925744,0.8522170320242135,1.5718929453527886,0.7200000000000001,0.4,0.0
9.016,0.6445540193005699,0.1914299729363848,0.6476019907691084,1.5860382212298352,0.26,-0.09,0.0
9.025,0.6430291543380507,0.12692431712903038,0.270445019658095,1.5773413088741581,0.42999999999999994,0.05,0.0
9.035,0.6424071506671609,0.14392134562797737,0.3533641570607311,1.4541275783033922,1.0499999999999998,0.65,0.0
9.045,0.6440334913945758,0.25306857262905724,0.8337860733152764,1.297485009759222,0.9700000000000001,0.53,0.0
9.056,0.6450877141996566,0.28129694902667274,0.827367533624745,1.2866747469592321,0.59,0.12,0.0
9.065,0.6443341140751094,0.2333212022335461,0.5340769997052941,1.3128324033618388,0.93,0.44,0.0
9.076,0.6445260385524305,0.2767143460192709,0.7588653050824894,1.16126912283482,0.82,0.32,0.0
9.085,0.644669234469281,0.28179006367142656,0.6990391738550417,1.1496885503260912,1.2999999999999998,0.76,0.0
9.096,0.661317567210131,0.2808884684665614,2.821770928523932,0.8969866953014048,1.5,0.44,0.0
9.105,0.6999314127144041,0.28091705358661295,4.1749991571603955,0.6759878889066213,1.08,-0.18,0.0
9.116,0.7564566947581575,0.09882817891854606,5.846127097303125,-0.09873513259090538,0.67,-0.8,0.0
9.125,0.8099199809418742,0.019611705984496186,4.934117583066021,-0.9133998798920482,1.63,0.79,0.0
9.135,0.8617484237740133,0.13815656527496786,5.538076653348581,-1.9021132640570189,0.7299999999999999,0.2,0.0
9.145,0.9108499283114655,0.03422751936784568,4.908445495244352,-2.1752700018268563,0.7299999999999999,0.39,0.0
9.155,0.9822691533867366,-0.099413114816629,6.600003843776935,-2.8003101589116337,0.47,-0.13,0.0
9.165,1.0396741551878828,-0.07981365946558801,4.893259267691521,-2.8181831108580475,0.14,-0.59,0.0
9.176,1.0876078715874615,-0.15159477791670944,4.384917873797904,-2.8975507336823205,0.25,-0.37,0.0
9.186,1.113606124121186,-0.041273801382115755,2.612057722714606,-2.294737487949914,0.31000000000000005,0.05,0.0
9.196,1.1242487705064188,0.06038895748140956,1.4719770436949426,-1.1323526106898827,0.30000000000000004,-0.1,0.0
9.206,1.1395272444821363,0.10164590415866231,1.2707204732617845,0.21417943375771653,-0.23,-0.32,0.0
9.216,1.1415545459437193,-0.009307450823040159,-0.004291697372715564,0.519854724694323,-0.29000000000000004,-0.09,0.0
9.227,1.1396577908983223,-0.062416136822599166,-0.21439966703061497,0.4121030618979092,0.27,-0.32,0.0
9.237,1.140270805663485,0.02302612483814758,0.1856789260592432,0.2347097355251303,-0.030000000000000027,0.19,0.0
9.246,1.1403339478060062,-0.003458723883836199,0.0043467074547890346,0.19635420497201814,0.29999999999999993,0.55,0.0
9.256,1.1409097513363409,0.039991125289950524,0.2331842459249085,0.061121377344119654,-0.29999999999999993,-0.83,0.0
9.266,1.1398611563402652,-0.039589517492587385,-0.1978726863799407,0.1087096263358584,-0.30999999999999994,-0.82,0.0
9.277,1.138797656627629,-0.06205478759506247,-0.2569304069617423,0.034942393054180454,0.37,-0.13,0.0
9.286,1.1251814385284706,0.08125262392465227,-0.6291730801525293,-0.043078976765667076,-0.09000000000000002,0.47,0.0
9.296,1.1199678012583851,-0.012571216513400887,-0.16535145489229625,-0.24180367612071518,-0.39,0.01,0.0
9.306,1.1186625434060118,-0.07708111846119964,-0.3159930310454546,-0.2950039230082722,0.12,-0.24,0.0
9.316,1.119411062738009,-0.004753004221058996,0.05446022372975476,-0.35607370482464656,0.19999999999999996,0.62,0.0
9.326,1.1204958140176347,0.012945582707454993,0.16703167787627765,-0.5193539896196931,-0.15000000000000002,0.37,0.0
9.336,1.1200413049444684,-0.03683819613107832,-0.08945850367845715,-0.4994893112276465,-0.32,0.23,0.0
9.346,1.119032687254242,-0.09120529371249755,-0.24416173812924957,-0.6482749452285896,-0.009999999999999953,-0.18,0.0
9.358,1.1193176141168948,-0.05573786683764681,-0.02727112799497451,-0.7824251255923296,0.16000000000000003,0.83,0.0
9.367,1.1202238800710695,-0.016733890016941373,0.1267559890841103,-0.8312525355696652,0.06,-0.04,0.0
9.378,1.1204812718915294,-0.0382777911000882,0.07292797320892416,-0.9437419835664007,0.019999999999999962,0.81,0.0
9.387,1.1203465788760474,-0.05143171984230377,0.034762414376901446,-0.9918727081432078,-0.43999999999999995,-0.41,0.0
9.398,1.1340624079325368,-0.17356188449749962,0.5640000992818943,-1.060601399684923,-0.39,-0.55,0.0
9.407,1.1385215989017925,-0.1694057708295525,-0.1811025613274005,-1.1723454413137193,0.34,0.55,0.0
9.417,1.140283767481813,-0.06639702396213645,0.2643807339942057,-1.4657006591378459,0.10000000000000003,0.4,0.0
9.427,1.1408707041861024,-0.07481380154864778,0.12612496716006893,-1.4337586232055282,-0.68,-0.34,0.0
9.439,1.138718705378139,-0.2234803409886176,-0.47985210971870584,-1.4803593077923392,-0.03999999999999998,0.43,0.0
9.447,1.1387966248703345,-0.17059652548473542,-0.06222297981700095,-1.7303516126844463,-0.9500000000000001,-0.39,0.0
9.457,1.1371267172459247,-0.29833630651735077,-0.7049490357940775,-1.664977892474179,-0.8099999999999999,-0.16,0.0
9.467,1.1359447477031706,-0.33111527821837394,-0.6689280357140754,-1.9136413433296036,-0.7999999999999999,-0.02,0.0
9.478,1.135724907105486,-0.34895392408353365,-0.6558874181104621,-2.0426784069220325,-1.4700000000000002,-0.59,0.0
9.487,1.1339134041376449,-0.4700707114232824,-1.1615455895181892,-2.074757364727766,-1.2999999999999998,-0.3,0.0
9.497,1.1330204992988984,-0.4944173667353339,-1.084443521097484,-2.3775197791113363,-0.5,0.67,0.0
9.507,1.1350587866943407,-0.38945507563858023,-0.4640348088337236,-2.6826510660630705,-0.7399999999999999,0.57,0.0
9.517,1.136065582320667,-0.42280363209443284,-0.568984618169319,-2.819809078011518,-1.63,-0.15,0.0
9.527,1.1337858784350898,-0.5885246275853149,-1.2574219135024691,-2.844835490767213,-1.3399999999999999,0.3,0.0
9.537,1.1327654433329086,-0.6079438366081261,-1.1116788034995757,-3.1473369483899694,-2.85,-1.03,0.0
9.547,1.1059850205941388,-0.7848851591863762,-4.002881902528017,-3.0755995609996702,-2.93,-0.39,0.0
9.557,1.0709416022017915,-0.8164885396327659,-5.360273945263564,-3.0464626537998662,-3.49,-0.64,0.0
9.568,1.005311554931397,-0.721071586970092,-7.820595259118429,-1.1730001590361956,-2.77,-0.06,0.0
9.577,0.9334525941502099,-0.5770422132707775,-8.516991835436635,0.04296127311382225,-1.85,0.69,0.0
9.587,0.8336157894948489,-0.3040021975033278,-10.572368506079014,0.9305207696269819,-3.11,-0.09,0.0
9.598,0.726854514178733,-0.5333404332005085,-10.961580036576153,1.101811434582638,-3.8000000000000003,-1.03,0.0
9.607,0.5998448150813497,-0.6110207006917702,-13.273578278859844,1.2077694641862866,-3.46,-0.17,0.0
9.617,0.46721353564594587,-0.5153379799160562,-13.37973241993199,1.7997593579672113,-3.04,-0.12,0.0
9.627,0.3142209025469408,-0.2862664763257423,-15.738854805662786,2.5872447418729116,-4.01,-0.63,0.0
9.637,0.1490896204296697,-0.41386400843615345,-16.841183331716042,2.9292603283746343,-3.7900000000000005,-0.54,0.0
9.647,-0.028744303077317433,-0.3302442609167609,-17.710399144934584,3.299942116270076,-2.75,0.51,0.0
9.657,-0.19976590032614905,-0.10170356611998488,-17.074626203944533,3.843169792079653,-2.12,0.74,0.0
9.667,-0.36721560029215083,0.02923576342226923,-16.50580383640363,3.7922279240532024,-2.49,0.3,0.0
9.677,-0.5437757507341141,-0.021483278817694282,-16.69585248227156,3.2642906797969427,-2.14,0.8,0.0
9.687,-0.7222560705317812,0.043303150525052625,-16.452327887044387,2.671646803699703,-1.85,1.18,0.0
9.698,-0.8778883026579952,0.029737317556356356,-14.435954968670268,1.8859416052469837,-2.96,-0.28,0.0
9.708,-1.021253518571772,-0.15794380417411868,-14.964577982580288,1.0576613391535485,-3.25,-0.2,0.0
9.718,-1.1862312611212613,-0.17601577527451714,-16.138128384309898,0.6283409582044727,-3.25,0.18,0.0
9.728,-1.3420729458412486,-0.18223725875973146,-15.448716467382766,0.5470943845549509,-3.0700000000000003,0.03,0.0
9.74,-1.5074159435633678,-0.010125801083438413,-17.007102127947746,1.455390769480744,-3.0100000000000002,0.25,0.0
9.748,-1.6634768595687055,-0.06986594303658371,-15.431319336605908,1.6500234795503084,-2.3200000000000003,0.3,0.0
9.758,-1.833062113997246,0.11598291384264231,-16.424113486964462,1.8568293110296852,-2.99,0.05,0.0
9.768,-2.0066338772159544,0.043536260704095886,-17.097115265276862,1.888261378637634,-3.11,-0.08,0.0
9.778,-2.1864089528979345,2.440654619891708e-05,-17.26633955697483,1.5185532757104818,-3.56,-0.42,0.0
9.788,-2.345186638032209,-0.0865722866962061,-15.898682482321366,1.927989439928486,-2.5100000000000002,-0.16,0.0
9.798,-2.5303160596337184,0.2082910870505797,-18.39748502208258,2.082842535011119,-2.52,0.82,0.0
9.808,-2.7006527360018175,0.15687745321698346,-16.171650709280513,2.0196770285994514,-2.13,0.31,0.0
9.818,-2.880955564128829,0.28342039656164075,-17.2876480173073,1.8334458303738024,-2.4,0.65,0.0
9.828,-3.040716607471807,0.14566309182771003,-15.02594909676564,1.3868074243844943,-2.39,-0.05,0.0
9.838,-3.1967817829095964,0.17761378218791168,-15.548923056274553,1.2115051526952985,-3.7399999999999998,-1.07,0.0
9.848,-3.375345717024163,0.01647033393961919,-17.539840772029027,1.2040020635518254,-2.71,0.29,0.0
9.858,-3.5484968464273545,0.13660200426349353,-17.026128767377983,0.7038692815083873,-4.29,-1.24,0.0
9.869,-3.7455416871293328,0.08168235876734137,-19.976528233920707,1.690704334250504,-3.45,-0.18,0.0
9.879,-3.947930215989016,0.19433371875285857,-19.761778276777683,2.087086730943042,-2.08,0.92,0.0
9.889,-4.144604332817923,0.4690264018985028,-18.712633699675603,2.6073590817959325,-2.33,0.33,0.0
